"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2021-09-26,"Ontario_12plus",11424499,10676613,0,0,13038032,.8762,.8189,.0000
2021-09-26,"Undisclosed_or_missing",462,205,0,0,0,.0000,.0000,.0000
2021-09-27,"12-17yrs",603587,529469,0,0,961857,.6275,.5505,.0000
2021-09-27,"18-29yrs",2017554,1780913,0,0,2454802,.8219,.7255,.0000
2021-09-27,"30-39yrs",1747265,1588973,0,0,2077137,.8412,.7650,.0000
2021-09-27,"40-49yrs",1609468,1506188,0,0,1855340,.8675,.8118,.0000
2021-09-27,"50-59yrs",1760158,1679908,0,0,2019276,.8717,.8319,.0000
2021-09-27,"60-69yrs",1748358,1695024,0,0,1813493,.9641,.9347,.0000
2021-09-27,"70-79yrs",1198415,1175616,0,0,1181151,.9999,.9953,.0000
2021-09-27,"80+",745967,732589,0,0,674976,.9999,.9999,.0000
2021-09-27,"Adults_18plus",10827185,10159211,0,0,12076175,.8966,.8413,.0000
2021-09-27,"Ontario_12plus",11430772,10688680,0,0,13038032,.8767,.8198,.0000
2021-09-27,"Undisclosed_or_missing",462,212,0,0,0,.0000,.0000,.0000
2021-09-28,"12-17yrs",604651,531194,0,0,961857,.6286,.5523,.0000
2021-09-28,"18-29yrs",2021013,1787230,0,0,2454802,.8233,.7281,.0000
2021-09-28,"30-39yrs",1749906,1592849,0,0,2077137,.8425,.7668,.0000
2021-09-28,"40-49yrs",1611249,1508725,0,0,1855340,.8684,.8132,.0000
2021-09-28,"50-59yrs",1761443,1681726,0,0,2019276,.8723,.8328,.0000
2021-09-28,"60-69yrs",1749000,1696002,0,0,1813493,.9644,.9352,.0000
2021-09-28,"70-79yrs",1198627,1175952,0,0,1181151,.9999,.9956,.0000
2021-09-28,"80+",745906,732617,0,0,674976,.9999,.9999,.0000
2021-09-28,"Adults_18plus",10837144,10175101,0,0,12076175,.8974,.8426,.0000
2021-09-28,"Ontario_12plus",11441795,10706295,0,0,13038032,.8776,.8212,.0000
2021-09-28,"Undisclosed_or_missing",465,214,0,0,0,.0000,.0000,.0000
2021-09-29,"12-17yrs",605859,533547,0,0,961857,.6299,.5547,.0000
2021-09-29,"18-29yrs",2024825,1794619,0,0,2454802,.8248,.7311,.0000
2021-09-29,"30-39yrs",1752740,1597500,0,0,2077137,.8438,.7691,.0000
2021-09-29,"40-49yrs",1613148,1511773,0,0,1855340,.8695,.8148,.0000
2021-09-29,"50-59yrs",1762798,1683968,0,0,2019276,.8730,.8339,.0000
2021-09-29,"60-69yrs",1749803,1697243,0,0,1813493,.9649,.9359,.0000
2021-09-29,"70-79yrs",1198903,1176416,0,0,1181151,.9999,.9960,.0000
2021-09-29,"80+",745913,732687,0,0,674976,.9999,.9999,.0000
2021-09-29,"Adults_18plus",10848130,10194206,0,0,12076175,.8983,.8442,.0000
